# Hubble data from Betoule et al (2014), postprocessed by Dr Pablo Lemos Portela
# velocity (km/s),# distance (Mpc),# error in distance (Mpc)
2997.92458,38.97421667,13.09199001
3597.509496,59.67613575,23.05675467
4197.094412,58.67162922,10.60492452
4796.679328,66.63668877,11.10174356
5696.056702,82.92570962,16.31815462
6895.226534,97.23112378,12.56544864
7794.603908,112.3102167,15.79248846
9293.566198,141.156321,18.44966847
11092.32095,163.6656431,21.40363907
12891.07569,193.6038969,33.49798905
15289.41536,213.9055825,45.75723619
17987.54748,270.1486631,38.62197682
20985.47206,306.2207743,46.45148095
24582.98156,390.2323504,49.10579808
29079.86843,447.3534677,61.7358336
34176.34021,527.9269922,45.50476729
40172.18937,650.9837401,57.88044981

